Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
7135,m a ²²,47,m a ²²,,expert,Hill2017,LingPy:SCA,,0:1
6160,j ɔ̃ ∼ ³⁵,57,- j ɔ̃ ∼ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
6213,tθ u ²²,894,tθ u - - ²²,,expert,Hill2017,LingPy:SCA,,0:1
6264,j a̰ ŋ ²¹,57,- j a̰ ŋ ²¹,,expert,Hill2017,LingPy:SCA,,0:1
6437,ŋ j a ŋ ³³,57,ŋ j a ŋ ³³,,expert,Hill2017,LingPy:SCA,,0:1
6552,j ɔ̃ ∼ ³¹,57,- j ɔ̃ ∼ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6635,n̥ʲ a ŋ ³¹,57,n̥ʲ - a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6492,ɲ̊ a ŋ ³¹,57,ɲ̊ - a ŋ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
5664,l e ⁵⁵,355,l e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1841,l i ³¹,355,l i - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1843,l a i ²¹,355,l a i ²¹,,expert,Hill2017,LingPy:SCA,,0:1
1844,l i ³¹,355,l i - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1847,l aː i ³³,355,l aː i ³³,,expert,Hill2017,LingPy:SCA,,0:1
1848,l a ³⁵,355,l a - ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
1849,l a i ³¹,355,l a i ³¹,,expert,Hill2017,LingPy:SCA,,0:1
7137,l i j ⁵⁵,355,l i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
5491,i ²² + t w ĩ ∼ ²²,1074,i ²² + t w ĩ ∼ ²²,,expert,Hill2017,LingPy:SCA,,0:1
5491,i ²² + t w ĩ ∼ ²²,357,i ²² + t w ĩ ∼ ²²,,expert,Hill2017,LingPy:SCA,,1:2
1853,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,356,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1853,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,1070,x a i ⁵⁵ + tʰ ɔ ʔ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
1856,x j i ⁵¹ + m a ⁵⁵,356,x j i ⁵¹ + m a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1856,x j i ⁵¹ + m a ⁵⁵,1071,x j i ⁵¹ + m a ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
1858,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,1072,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1858,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,1073,tʃʰ ə̆ ⁵⁵ + m ɛ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,1:2
1860,x j ɛ ³³ + m ŏ ³³,356,x j ɛ ³³ + m ŏ ³³,,expert,Hill2017,LingPy:SCA,,0:1
1860,x j ɛ ³³ + m ŏ ³³,1071,x j ɛ ³³ + m ŏ ³³,,expert,Hill2017,LingPy:SCA,,1:2
1861,tʃʰ ɛ̆ ³¹ + m ɛ ³¹,1072,tʃʰ ɛ̆ ³¹ + m ɛ - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
